symbol,turnover24h,age_days,trades,total_return,average_return,median_return,win_rate,max_drawdown,train_return,validation_trades,validation_return,validation_median,validation_win_rate,stage1_score
BROCCOLIUSDT,640548.9095,536.0811390162037,13,0.026172991317115146,0.0020934855706926147,-0.005328699563884597,0.38461538461538464,-0.03909231432700555,0.00522232707817194,9,0.02084182143052793,-0.005328699563884597,0.4444444444444444,0.6502028397565922
SHELLUSDT,137091.7685,533.2742871643519,19,0.04294878912143507,0.0023169435815234445,-0.004312825366777128,0.3684210526315789,-0.049439852012724494,0.03516819393939863,14,0.007516261828357518,-0.004490052846856828,0.35714285714285715,0.649239350912779
AGIUSDT,88174.1314,991.2367755902778,21,0.018023503312086353,0.0009443456847965317,-0.004017041278156718,0.42857142857142855,-0.037927091284927994,-0.038361909057063714,16,0.058634753448525645,0.0011144314325123314,0.5,0.6484279918864098
LAUSDT,1550903.8038,425.3671343865741,26,0.07827240502552857,0.0030789902076681086,-0.006273899035586949,0.38461538461538464,-0.0859797823137225,0.05830781978535193,22,0.01886462980517911,-0.006428778588528693,0.3181818181818182,0.6480730223123732
ROSEUSDT,769942.2158,1663.3366945717592,28,0.046200428147509465,0.001739307603307344,-0.005504440067291837,0.35714285714285715,-0.047069872832428694,-0.017424969904739185,20,0.06475372984603522,-0.005453000211772085,0.35,0.6475659229208924
UNIUSDT,38970396.1998,1708.5893681828704,12,0.02928149574754224,0.002568925562425106,-0.0076859999687968195,0.4166666666666667,-0.029864043544239993,-0.00996858953841806,9,0.03964529293839347,-0.007480155062111859,0.4444444444444444,0.6474645030425964
WIFUSDT,9840590.2049,936.1923311458334,24,0.04214655737185691,0.0018760857685502879,-0.006189132485286296,0.4166666666666667,-0.06697369142018927,0.0013150410656987965,20,0.04077789170399493,-0.006189132485286296,0.4,0.646450304259635
CKBUSDT,161100.5321,1631.381636701389,20,0.038382859012736414,0.0020016268456588436,-0.004159526459913575,0.35,-0.04540922900407829,0.051101246907468534,17,-0.012100059753665238,-0.004411030298658413,0.29411764705882354,0.6447768762677485
NAORISUSDT,207391.7038,369.0795302199074,20,0.16473483979251635,0.00833678833719786,-0.006245692056076112,0.35,-0.08153050454108512,-0.0018279364296319711,15,0.16686779995261425,-0.0063624800412188645,0.3333333333333333,0.6439655172413793
TRUSTUSDT,396609.3016,263.07674086805554,7,-0.01749373887150074,-0.0025085802146501686,-0.0020285949393129546,0.42857142857142855,-0.01987956112890299,0.0024342133505044217,6,-0.01987956112890288,-0.0030711986405438365,0.3333333333333333,0.6434584178498985
MITOUSDT,87276.2737,340.163222349537,14,0.015904177810948106,0.0012075978622499116,-0.003951853416576722,0.42857142857142855,-0.0390167724188053,-0.006725554141490231,12,0.022782959983309592,-0.003951853416576722,0.4166666666666667,0.6428498985801218
MANAUSDT,461250.5685,1730.5893681828704,21,0.01205259005277215,0.0006468853331194228,-0.005032969735702219,0.42857142857142855,-0.042028388080440626,0.0072005182877719065,16,0.004817384102670186,-0.004659548972143212,0.4375,0.642444219066937
1000000BABYDOGEUSDT,131442.6953,784.107284849537,18,0.016964124860497698,0.0009926449666126415,-0.004290961821372784,0.3888888888888889,-0.030174589650595385,0.039539338901302346,12,-0.02171655578197229,-0.004647610116011002,0.25,0.6414300202839757
MEGAUSDT,2488430.601,285.09750475694443,21,0.07631803023979078,0.0036878142831455792,-0.007766691064374553,0.38095238095238093,-0.05591230262653035,0.028157587299002307,17,0.04684149933407289,-0.007766691064374553,0.35294117647058826,0.6408215010141989
CETUSUSDT,42761.1305,911.4337779050926,21,0.02063290707676324,0.001034663510911844,-0.004098804616525674,0.42857142857142855,-0.04290420085651803,0.009483520503763998,16,0.011044644460798336,-0.004512518233791617,0.375,0.6408215010141989
PLAYSOUTUSDT,82215.2982,196.17603484953705,14,0.38616820529040585,0.02872609050087579,-0.007534671693280093,0.35714285714285715,-0.050832315586827326,0.4036861394899194,11,-0.01247995097100485,-0.00787436824997112,0.2727272727272727,0.6389452332657202
ORDERUSDT,186715.7972,707.2127941087963,23,0.03412740858094332,0.0015454445958002518,-0.004500572852030759,0.30434782608695654,-0.02520244020270701,0.038743757602758055,18,-0.004444165356495833,-0.004326082202882719,0.2777777777777778,0.6384381338742394
TIAUSDT,6730072.2302,1007.9140325347222,24,0.02450944149529155,0.0011032156201275466,-0.005651103462361306,0.4166666666666667,-0.07578616095988178,0.050695745646401225,19,-0.02492282305283311,-0.0068548707267326306,0.3684210526315789,0.6359026369168358
HOMEUSDT,103929842.8523,420.1200394791667,28,0.11550077952730375,0.004831961870161839,-0.009368938406100036,0.35714285714285715,-0.09143699484469425,0.07085647405215623,22,0.041690279282911025,-0.007107490922831861,0.4090909090909091,0.6348884381338743
JELLYJELLYUSDT,271844.5683,551.3079908680555,15,0.0627153735634367,0.0042544189374905525,-0.0059122247614834525,0.3333333333333333,-0.0362399606997843,-0.02220615429455086,12,0.08685013536439179,-0.005253464849453992,0.4166666666666667,0.6330121703853956
BBUSDT,151065.2302,812.1025626273148,23,0.05305385709906396,0.0023617207011587273,-0.005184100418409997,0.391304347826087,-0.05870805882247565,0.044875329576054446,21,0.007827275935711642,-0.00559295168753282,0.3333333333333333,0.6320993914807301
TNSRUSDT,218893.1158,847.2645533680555,12,0.0013612699937914918,0.00016036797865976826,-0.0037443285810791474,0.4166666666666667,-0.03761197921087511,-0.019654087959495747,9,0.021436676274342537,0.0017649769585254002,0.5555555555555556,0.6318458417849899
DOGEUSDT,50188851.4396,1889.1421459606481,26,-0.018188906938595983,-0.0006733536142564449,-0.003977937100038186,0.38461538461538464,-0.036717503645568916,-0.00966164496637334,20,-0.008610453113201633,-0.00365757306056702,0.4,0.6310344827586207
AUSDT,429062.3849,433.2421228125,24,0.03425342955656063,0.0014891621592788655,-0.005571751557725379,0.375,-0.0459103203316894,0.003813476132885407,22,0.030324312382159935,-0.005571751557725379,0.36363636363636365,0.6293610547667343
MONUSDT,2441874.2062,253.00735429398148,23,0.026601248585903958,0.001274863567451603,-0.004815185185250591,0.30434782608695654,-0.05406772214603561,0.03083968264853354,21,-0.004111632617537331,-0.004815185185250591,0.2857142857142857,0.6281947261663284
