symbol,turnover24h,age_days,exit_method,exit_score,exit_selection_note,trades,total_return,average_return,median_return,win_rate,max_drawdown,train_return,validation_trades,validation_return,validation_expectancy,validation_median,validation_win_rate,validation_profit_factor,validation_sell_early_median_6h,eligibility_tier,eligible,score
SONICUSDT,121538.435,574.0720649421296,structure_rolling_high,0.8300000000000002,best_daily_stop_exit_validation_score,60,0.15517692251307835,0.0025426149026448333,-0.00574043188081702,0.36666666666666664,-0.08484265224099985,0.12177534448052585,21,0.02977563929970306,0.0015343581422894424,-0.005799074222396227,0.2857142857142857,1.3015296155913325,0.01154085734576804,relaxed,True,0.3958461538461539
BNTUSDT,51999.5583,1093.367921423611,structure_fixed6,,fallback_no_strategy_passed_robust_filter,19,0.04505005039417109,0.002417695360078929,-0.003507728640652407,0.47368421052631576,-0.04250877920507956,0.02094834597609241,7,0.02360717318664718,0.0034242027751406933,-0.003507728640652407,0.42857142857142855,2.225424775683114,0.004893393918210309,relaxed,True,0.39469230769230773
RPLUSDT,164982.3049,1252.2751783680555,structure_rolling_high,0.7235714285714284,best_daily_stop_exit_validation_score,53,0.06153273656972713,0.0012328473146888212,-0.005252377092304749,0.3584905660377358,-0.09053957869603968,0.02458139938730519,13,0.0360648135956001,0.0027918673200410912,-0.0045074221843822695,0.46153846153846156,1.7472527498755839,0.010665334929711223,relaxed,True,0.3833076923076923
ZETAUSDT,204124.3914,915.4188936458334,structure_rolling_high,1.0,best_daily_stop_exit_validation_score,56,0.22907687150938738,0.003859591289227796,-0.006531561515694172,0.39285714285714285,-0.1194979380895389,0.2037151150772969,11,0.021069567137953493,0.0019554835677536376,-0.004967165861547772,0.45454545454545453,1.5204629310852258,0.0035353040705978778,relaxed,True,0.38288461538461543
USUALUSDT,147216.2657,624.2006760532407,structure_atr_trail_1.5,0.89,best_daily_stop_exit_validation_score,53,0.05415358356978417,0.0010992833964950392,-0.004126474073562702,0.37735849056603776,-0.10158633781964521,0.02864071598354001,15,0.024802506054653062,0.001680672004544781,0.0037698618994571617,0.5333333333333333,1.461920434441965,0.011778769221792551,relaxed,True,0.36096153846153844
XTZUSDT,1220495.3316,3137.58936818287,structure_atr_trail_1.5,0.8133333333333334,best_daily_stop_exit_validation_score,53,0.11746732891126599,0.002194941692760944,-0.0005161736245508078,0.4716981132075472,-0.05013103757655202,0.10541369727838545,14,0.010904181540863034,0.0008157976671987563,-0.0020017995564041704,0.42857142857142855,1.2753327647284052,0.01142213694973615,relaxed,True,0.360076923076923
DYDXUSDT,607301.4366,1758.5893681828704,structure_rolling_high,1.0,best_daily_stop_exit_validation_score,54,0.05283987102039078,0.0011488556512580887,-0.007853099614683057,0.3333333333333333,-0.11083105688945549,0.03037858555942674,13,0.02179906082653038,0.0017679410640167527,0.0032727434573617273,0.5384615384615384,1.324346315930456,0.01337429965660597,relaxed,True,0.3523076923076924
ACXUSDT,704990.6921,606.1756992013889,structure_rolling_high,1.0,best_daily_stop_exit_validation_score,47,0.03548372490985097,0.0008176519722265342,-0.004351567248271015,0.3617021276595745,-0.07309376167214665,0.017747663250206047,8,0.017426777088344503,0.00217618380127159,0.0029500973816281037,0.75,2.4899303070335006,0.004091606478571763,relaxed,True,0.34786538461538463
BRUSDT,91828.2207,502.03395151620373,structure_rolling_high,1.0,best_daily_stop_exit_validation_score,44,0.16426445023983915,0.0038964121531858257,-0.009257843484338613,0.38636363636363635,-0.08764201177723918,0.15442449185919904,11,0.008523691631657115,0.0008733667232657976,0.00403482998827498,0.5454545454545454,1.1486748248462986,0.025959434848247698,relaxed,True,0.3234615384615384
GRTUSDT,454349.4382,1702.5893681828704,structure_time_staged_mfe,0.9349999999999999,best_daily_stop_exit_validation_score,55,0.04740432783897841,0.0008894795358485175,0.0016683087027916663,0.6181818181818182,-0.029962818636128485,0.037695574606783744,20,0.009356070768513636,0.0005198581015230467,-0.001084164515357199,0.5,1.1524119624591482,0.008070568330539651,relaxed,True,0.3211730769230769
